,Longitude (x),Latitude (y),Station Name,Climate ID,Date/Time (LST),Year,Month,Day,Time (LST),Temp (°C),Temp Flag,Dew Point Temp (°C),Dew Point Temp Flag,Rel Hum (%),Rel Hum Flag,Precip. Amount (mm),Precip. Amount Flag,Wind Dir (10s deg),Wind Dir Flag,Wind Spd (km/h),Wind Spd Flag,Visibility (km),Visibility Flag,Stn Press (kPa),Stn Press Flag,Hmdx,Hmdx Flag,Wind Chill,Wind Chill Flag,Weather
0,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 00:00,2024,9,1,00:00,13.3,,7.4,,67.0,,0.0,,13.0,,9.0,,16.1,,98.77,,,,,,
1,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 01:00,2024,9,1,01:00,13.8,,9.3,,74.0,,0.0,,13.0,,9.0,,16.1,,98.71,,,,,,
2,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 02:00,2024,9,1,02:00,13.4,,7.7,,68.0,,0.0,,13.0,,5.0,,16.1,,98.65,,,,,,
3,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 03:00,2024,9,1,03:00,13.7,,7.9,,68.0,,0.0,,15.0,,15.0,,16.1,,98.55,,,,,,
4,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 04:00,2024,9,1,04:00,13.8,,8.1,,68.0,,0.0,,17.0,,15.0,,16.1,,98.49,,,,,,
5,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 05:00,2024,9,1,05:00,14.0,,7.8,,66.0,,0.0,,19.0,,13.0,,16.1,,98.4,,,,,,
6,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 06:00,2024,9,1,06:00,13.8,,7.8,,67.0,,0.0,,16.0,,8.0,,16.1,,98.34,,,,,,
7,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 07:00,2024,9,1,07:00,14.2,,8.4,,68.0,,0.0,,17.0,,8.0,,16.1,,98.27,,,,,,
8,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 08:00,2024,9,1,08:00,15.6,,9.4,,66.0,,0.0,,,M,4.0,,6.4,,98.22,,,,,,Haze
9,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 09:00,2024,9,1,09:00,15.9,,10.1,,68.0,,0.0,,15.0,,5.0,,16.1,,98.13,,,,,,
10,-111.12,58.77,FORT CHIPEWYAN,3072655,2024-09-01 10:00,2024,9,1,10:00,16.8,,11.5,,71.0,,0.0,,20.0,,11.0,,16.1,,98.1,,,,,,
